키,몸무게,머리둘레,목둘레,화장,젖가슴둘레,배꼽수준허리둘레,엉덩이둘레,샅높이,희망치수신발,윗가슴둘레(겨드랑이),허리둘레(윗허리),어깨가쪽사이길이,팔길이,등길이,다리가쪽길이,총장,(초)전투복상의,(초)전투복하의,(초)야상외피,(초)야상내피,(초)병사반코트,(초)전투모,(초)게리슨모,(초)정모,(초)동운동복,(초)춘추운동복,(초)하운동복상의,(초)하운동복하의,(초)동내의,(초)춘추내의,(초)티셔츠(런닝),(초)삼각팬티,(초)사각팬티
162.4,47.5,53.2,33.2,61.3,79.8,66.1,87.6,73.5,235,78.9,64.8,39.8,42.9,31.5,94,135.5,80-W-164,65-164,85-164,85-164,90-165,54호,54호,54호,95,95,95,95,95,95,90,90,90
169,69.3,55.4,37.1,0,92,88.4,99.7,77,0,93.3,81.3,0,149.1,29.7,95.5,135.2,90-W-170,90-170,90-170,90-170,95-170,56호,56호,56호,95,95,95,95,95,95,90,100,100
160.1,48.3,55.5,33.2,71.5,82.1,70.3,90.3,76,240,82.1,66.2,44.7,51.9,31,94,135,80-W-158,70-158,80-158,80-158,90-165,56호,56호,56호,95,95,95,95,95,95,90,90,90
159.2,55.1,56.3,35.2,77.6,83.7,75.8,97,73,235,85.3,73.9,44.2,56.2,31.5,90.5,132,85-W-158,75-158,85-158,85-158,90-165,57호,57호,57호,95,95,95,95,95,95,90,95,95
170.9,70,55.8,37,73.9,95.6,81.2,104,78.5,0,96,81.2,52.9,48.2,31.5,100,141.5,95-W-170,80-170,95-164,95-164,95-170,56호,56호,56호,95,95,95,95,95,95,95,105,105
173.9,73.3,56.8,37.5,74,114.9,85.9,105,82.5,260,92.8,82.7,50.8,50.3,35.5,102,147.5,105-W-170,85-170,95-164,95-164,95-175,57호,57호,57호,115,115,115,115,115,115,115,105,105
163.4,58.1,54.2,35.5,65.9,85.7,73.5,96.9,77,230,87.7,74.9,44.4,44.3,27,100,137,85-W-164,75-164,85-164,85-164,90-165,55호,55호,55호,95,95,95,95,95,95,90,95,95
162.9,82.1,55.7,39.7,74.1,101.5,89.8,108.3,73,245,101.4,92,54,46.8,36.5,91,137.5,100-W-170,90-170,95-164,95-164,100-165,56호,56호,56호,100,100,100,100,100,100,100,110,110
160.8,52.6,58.1,34.4,0,79.8,72.9,93,75.5,230,81.1,70.9,0,148.3,31.1,96,137.1,80-W-158,75-158,80-158,80-158,90-165,59호,59호,59호,95,95,95,95,95,95,90,95,95
167.4,55.4,56.5,34.7,70.3,88,71.5,91.3,78.5,260,89.9,71.2,49.5,47.7,29.5,100.5,140,90-W-170,70-170,90-170,90-170,90-165,57호,57호,57호,95,95,95,95,95,95,90,90,90
168.4,50.9,55.5,34,75.7,79.4,69.4,93.6,81,240,81.9,67.5,42.5,53.5,31.5,101.5,143,85-W-170,70-170,85-170,85-170,90-170,56호,56호,56호,95,95,95,95,95,95,90,95,95
164.5,53.2,55.1,34.4,0,79.7,79.8,91.7,79.5,245,79.7,70.4,0,153.2,6.6,121.5,138.1,80-W-164,80-164,85-164,85-164,90-165,56호,56호,56호,95,95,95,95,95,95,90,90,90
174.4,64.5,54.8,36.2,0,84.6,76.7,99.7,81.5,250,82.6,75.2,0,145.7,31.3,100.5,141.8,85-W-170,75-170,85-170,85-170,90-175,55호,55호,55호,95,95,95,95,95,95,90,100,100
160.1,55.9,53.5,35.2,0,83.2,72,97.5,75,240,82,74.3,0,155.3,37,94.5,141.5,85-W-158,70-158,85-158,85-158,90-165,54호,54호,54호,95,95,95,95,95,95,90,95,95
166,57.1,56.3,35.1,82,87.5,76.1,93.6,75,230,89.4,73,47.4,59.9,34.5,95,139.5,85-W-164,75-164,85-164,85-164,90-165,57호,57호,57호,95,95,95,95,95,95,90,95,95
168.9,77.4,55.6,38.7,0,85.9,87.4,106.2,78,250,94.9,88.6,0,146.8,35,96.5,141.5,85-W-170,85-170,85-170,85-170,95-170,56호,56호,56호,95,95,95,95,95,95,90,105,105
163.3,58.7,56.8,35.7,0,85.5,75.2,97.4,73.5,245,88,75.5,0,149.1,31.4,100.5,141.9,85-W-164,75-164,85-164,85-164,90-165,57호,57호,57호,95,95,95,95,95,95,90,95,95
